data = [[1, Ryzen Threadripper 7980X, AMD Socket sTR5, 86.11, 64 / 128, 2023, 350 W],
[2, Ryzen Threadripper 7970X, AMD Socket sTR5, 61.77, 32 / 64, 2023, 350 W],
[3, Ryzen Threadripper 7960X, AMD Socket sTR5, 52.26, 24 / 48, 2023, 350 W],
[4, Ryzen Threadripper 3990X, AMD Socket TR4, 49.80, 64 / 128, 2020, 280 W],
[5, Core Ultra 9 285K, FCLGA1851, 42.24, 24 / 24, 2024, 125 W],
[6, Ryzen 9 9950X, AMD Socket AM5, 41.42, 16 / 32, 2024, 170 W],
[7, Ryzen Threadripper 3970X, AMD Socket TR4, 39.32, 32 / 64, 2019, 280 W],
[8, Ryzen 9 7950X, AMD Socket AM5, 39.04, 16 / 32, 2022, 170 W],
[9, Ryzen 9 7950X3D, AMD Socket AM5, 38.96, 16 / 32, 2023, 120 W],
[10, Core i9-14900KS, FCLGA1700, 38.32, 24 / 32, 2024, 150 W],
[11, Core i9-13900KS, FCLGA1700, 38.20, 24 / 32, 2023, 150 W],
[12, Core i9-14900K, FCLGA1700, 36.97, 24 / 32, 2023, 125 W],
[13, Core i9-14900KF, FCLGA1700, 36.76, 24 / 32, 2023, 125 W],
[14, Core i9-13900K, FCLGA1700, 36.67, 24 / 32, 2022, 125 W],
[15, Core Ultra 7 265K, FCLGA1851, 36.62, 20 / 20, 2024, 125 W],
[16, Core Ultra 7 265KF, FCLGA1851, 36.57, 20 / 20, 2024, 125 W],
[17, Core i9-13900KF, FCLGA1700, 36.15, 24 / 32, 2022, 125 W],
[18, Core Ultra 9 285, FCLGA1851, 35.52, 24 / 24, 2025, 125 W],
[19, Ryzen Threadripper 3960X, AMD Socket TR4, 34.18, 24 / 48, 2019, 280 W],
[20, Ryzen 9 9900X, AMD Socket AM5, 34.12, 12 / 24, 2024, 120 W],
[21, Core i7-14700KF, FCLGA1700, 33.28, 20 / 28, 2023, 125 W],
[22, Core i7-14700K, FCLGA1700, 32.97, 20 / 28, 2023, 125 W],
[23, Ryzen 9 7900X, AMD Socket AM5, 32.12, 12 / 24, 2022, 170 W],
[24, Core i9-13900F, FCLGA1700, 31.44, 24 / 32, 2023, 65 W],
[25, Ryzen 9 7900X3D, AMD Socket AM5, 31.43, 12 / 24, 2023, 120 W],
[26, Ryzen 9 7900, AMD Socket AM5, 30.28, 12 / 24, 2023, 65 W],
[27, Core i9-14900F, FCLGA1700, 29.08, 24 / 32, 2024, 65 W],
[28, Core i9-14900, FCLGA1700, 29.06, 24 / 32, 2024, 65 W],
[29, Core Ultra 7 265, FCLGA1851, 29.04, 20 / 20, 2025, 65 W],
[30, Core i7-13700KF, FCLGA1700, 28.92, 16 / 24, 2022, 125 W],
[31, Core i7-13790F, Intel Socket 1700, 28.87, 16 / 24, 2023, 65 W],
[32, Core i9-13900, FCLGA1700, 28.82, 24 / 32, 2023, 125 W],
[33, Core i7-13700K, FCLGA1700, 28.77, 16 / 24, 2022, 125 W],
[34, Ryzen 9 5950X, AMD Socket AM4, 28.38, 16 / 32, 2020, 105 W],
[35, Core i9-12900KS, FCLGA1700, 27.37, 16 / 24, 2022, 150 W],
[36, Ryzen 9 5900XT, AMD Socket AM4, 27.35, 16 / 32, 2024, 105 W],
[37, Core Ultra 5 245KF, FCLGA1851, 27.14, 14 / 14, 2024, 125 W],
[38, Core Ultra 5 245K, FCLGA1851, 27.13, 14 / 14, 2024, 125 W],
[39, Core i9-13900T, FCLGA1700, 26.65, 24 / 32, 2023, 35 W],
[40, Core i7-14700F, FCLGA1700, 26.31, 20 / 28, 2024, 65 W],
[41, Core i7-14700, FCLGA1700, 26.29, 20 / 28, 2024, 65 W],
[42, Core i9-14900T, FCLGA1700, 25.81, 24 / 32, 2024, 35 W],
[43, Core i9-12900K, FCLGA1700, 25.79, 16 / 24, 2021, 125 W],
[44, Core i9-12900KF, FCLGA1700, 25.61, 16 / 24, 2021, 125 W],
[45, Ryzen 7 9800X3D, AMD Socket AM5, 24.98, 8 / 16, 2024, 120 W],
[46, Ryzen 9 5900X, AMD Socket AM4, 24.35, 12 / 24, 2020, 105 W],
[47, Core i5-14600KF, FCLGA1700, 24.32, 14 / 20, 2023, 125 W],
[48, Core Ultra 5 235, FCLGA1851, 24.21, 14 / 14, 2025, 65 W],
[49, Core i7-13700F, FCLGA1700, 24.14, 16 / 24, 2023, 65 W],
[50, Core i5-14600K, FCLGA1700, 24.13, 14 / 20, 2023, 125 W],
[51, Ryzen 9 3950X, AMD Socket AM4, 24.11, 16 / 32, 2019, 105 W],
[52, Core i5-13600K, FCLGA1700, 23.55, 14 / 20, 2022, 125 W],
[53, Core i5-13600KF, FCLGA1700, 23.45, 14 / 20, 2022, 125 W],
[54, Ryzen 7 9700X, AMD Socket AM5, 23.14, 8 / 16, 2024, 65 W],
[55, Core Ultra 9 285T, FCLGA1851, 22.98, 24 / 24, 2025, 35 W],
[56, Core i7-13700, FCLGA1700, 22.93, 16 / 24, 2023, 65 W],
[57, Core i9-12900F, FCLGA1700, 22.50, 16 / 24, 2022, 65 W],
[58, Ryzen 7 7700X, AMD Socket AM5, 22.37, 8 / 16, 2022, 105 W],
[59, Core i9-13900E, Intel Socket 1700, 21.97, 24 / 32, 2023, 65 W],
[60, Core i7-13700E, Intel Socket 1700, 21.65, 16 / 24, 2023, 65 W],
[61, Ryzen 7 7700, AMD Socket AM5, 21.54, 8 / 16, 2023, 65 W],
